____VehicleSample__
hhID,vehIDinHH,hhWt,nTrips
1035198,3,303.74908,1
___Trip_
gID,dayID,idInDay,secsFromLastTrip,numRecSteps,miles,year,month,day,hr24,min,sec,numPayloadAdjust
0,0,0,30625,9366,130.21385,2012,5,25,5,46,23,1
tStepID,payloadKg
0,0.0
speedMPH,fltGrade,recAuxKW
57.1,-0.003374983,0.0
58.5,-0.00256319,0.0
60.2,-0.0023483604,0.0
61.8,-0.0023227823,0.0
63.3,-0.0024908306,0.0
62.9,-0.0031782994,0.0
65.7,-0.0045435186,0.0
67.4,-0.00611673,0.0
68.5,-0.0069376496,0.0
69.3,-0.0063032443,0.0
68.2,-0.0043338304,0.0
67.2,-0.0017421697,0.0
67.0,7.3076255E-4,0.0
67.6,0.0025181663,0.0
68.0,0.003243807,0.0
67.3,0.0028820967,0.0
66.9,0.0017116223,0.0
67.8,-5.5987213E-5,0.0
68.7,-0.00221911,0.0
69.8,-0.0038405363,0.0
70.6,-0.0030991198,0.0
71.5,0.0010618526,0.0
72.1,0.0068886694,0.0
72.6,0.010477699,0.0
73.2,0.009257491,0.0
73.8,0.0042015407,0.0
74.3,-0.0017743122,0.0
74.9,-0.0066591334,0.0
75.5,-0.010056183,0.0
76.2,-0.012019706,0.0
77.0,-0.0123020215,0.0
77.6,-0.010778431,0.0
78.3,-0.007991267,0.0
78.9,-0.0049349954,0.0
79.4,-0.002460952,0.0
79.8,-9.997953E-4,0.0
80.2,-6.128785E-4,0.0
80.4,-0.0010776283,0.0
80.0,-0.0019628224,0.0
79.6,-0.002768672,0.0
79.5,-0.0030990995,0.0
79.7,-0.002800772,0.0
79.7,-0.0020746654,0.0
81.8,-0.0014839999,0.0
78.0,-0.001647205,0.0
78.4,-0.0026883567,0.0
80.5,-0.0040101027,0.0
81.0,-0.0047659776,0.0
80.1,-0.0045793825,0.0
79.8,-0.003753711,0.0
79.9,-0.0028711786,0.0
79.9,-0.0023223485,0.0
80.1,-0.002174872,0.0
80.2,-0.002305383,0.0
80.3,-0.002550936,0.0
80.3,-0.0027842615,0.0
80.1,-0.0029410813,0.0
80.1,-0.0030183955,0.0
79.7,-0.0030436357,0.0
79.5,-0.00304128,0.0
78.9,-0.0030257897,0.0
78.5,-0.00301131,0.0
78.3,-0.0030125799,0.0
78.4,-0.0030320073,0.0
78.2,-0.0030442274,0.0
78.2,-0.0029920423,0.0
78.1,-0.0028097548,0.0
78.1,-0.0024756717,0.0
77.9,-0.0020528468,0.0
77.3,-0.0016632045,0.0
76.0,-0.0014073544,0.0
74.8,-0.0013079686,0.0
73.8,-0.0013170819,0.0
72.3,-0.0013528543,0.0
70.3,-0.0013271435,0.0
66.8,-0.0011655025,0.0
63.8,-8.330822E-4,0.0
61.9,-3.6032693E-4,0.0
61.3,1.5574708E-4,0.0
61.1,5.914797E-4,0.0
60.3,8.561673E-4,0.0
59.0,9.258636E-4,0.0
56.5,8.3575665E-4,0.0
